 -- Frame 452 Framerate: 75.0 [Very Good Framerate]
 -- Frame 453 Framerate: 76.0 [Very Good Framerate]
 -- Frame 454 Framerate: 71.6 [Very Good Framerate]
 -- Frame 455 Framerate: 82.5 [Very Good Framerate]
 -- Frame 456 Framerate: 80.0 [Very Good Framerate]
 -- Frame 457 Framerate: 73.1 [Very Good Framerate]
 -- Frame 458 Framerate: 79.7 [Very Good Framerate]
 -- Frame 459 Framerate: 78.5 [Very Good Framerate]
 -- Frame 460 Framerate: 79.5 [Very Good Framerate]
 -- Frame 461 Framerate: 77.4 [Very Good Framerate]
 -- Frame 462 Framerate: 79.4 [Very Good Framerate]
 -- Frame 463 Framerate: 24.3 [Okay Framerate]
 -- Frame 464 Framerate: 888.9 [Very Good Framerate]
 -- Frame 465 Framerate: 79.8 [Very Good Framerate]
 -- Frame 466 Framerate: 79.6 [Very Good Framerate]
 -- Frame 467 Framerate: 79.6 [Very Good Framerate]
